 F =,Z =,Phi = ,
 1600.0, 1597282.875,1.8020702600479126,
 1800.0, 1046723.9375, 1.7614150047302246,
 2000.0, 720065.125, 1.7393850088119507,
 2200.0, 510812.5, 1.7256442308425903,
 2400.0, 371500.09375, 1.7197192907333374,
 2600.0, 274738.78125, 1.7197095155715942,
 2800.0, 205154.984375, 1.7261533737182617,
